family,order,seasonal_order,status,mae,rmse,mape,aic,bic,ticker,error
SARIMAX,"(1, 1, 0)","(1, 1, 1, 5)",ok,13.978866872053942,19.31478056715579,4.901508791540641,-6486.151285804244,-6460.692575228769,AAPL,
SARIMAX,"(1, 1, 1)","(0, 0, 1, 5)",ok,14.023515467350068,19.37371610058661,4.916787499601097,-6536.730127798695,-6511.25480591226,AAPL,
SARIMAX,"(1, 1, 1)","(0, 1, 0, 5)",ok,17.469822010297424,23.126388696975642,6.140517387770447,-5684.861437119598,-5664.4811796104495,AAPL,
SARIMAX,"(1, 1, 1)","(0, 1, 1, 5)",ok,18.569188744470935,25.963565459791983,6.470865760198493,-6481.880506066276,-6456.425956955876,AAPL,
SARIMAX,"(1, 1, 1)","(1, 0, 0, 5)",ok,14.018137586152212,19.362671183128917,4.915090938897622,-6542.945874935358,-6517.4664088298705,AAPL,
SARIMAX,"(1, 1, 1)","(1, 0, 1, 5)",ok,14.026290311458135,19.37946664125472,4.917664638331362,-6534.808572890783,-6504.23818662706,AAPL,
SARIMAX,"(1, 1, 1)","(1, 1, 0, 5)",ok,34.11250926823194,42.08458367591051,12.099083700891708,-5972.75232596081,-5947.293615385334,AAPL,
SARIMAX,"(1, 1, 1)","(1, 1, 1, 5)",ok,17.06273533677781,24.03319423397382,5.943865229748025,-6476.76054445045,-6446.21508551797,AAPL,
AR,"(1, 0, 0)","(0, 0, 0, 0)",ok,63.04386671065697,66.60384303171061,15.927168931143482,-6593.9168524127945,-6578.6142966859625,MSFT,
AR,"(2, 0, 0)","(0, 0, 0, 0)",ok,63.188230389266614,66.73126819471251,15.96265777068046,-6585.850939877357,-6565.45083121084,MSFT,
AR,"(3, 0, 0)","(0, 0, 0, 0)",ok,63.29005277101287,66.77487918172419,15.985795252266138,-6580.22652542944,-6554.730516711675,MSFT,
MA,"(0, 0, 1)","(0, 0, 0, 0)",ok,50.80165122375144,55.1892619397758,12.305556601352494,-1390.5544666196165,-1375.2543851197288,MSFT,
MA,"(0, 0, 2)","(0, 0, 0, 0)",ok,50.015425504979035,54.03165689218294,12.137550809722452,-2609.770999722198,-2589.374192747986,MSFT,
MA,"(0, 0, 3)","(0, 0, 0, 0)",ok,49.58900429530867,53.46640977242247,12.042571920576863,-3492.051735878868,-3466.559857685914,MSFT,
ARMA,"(1, 0, 1)","(0, 0, 0, 0)",ok,63.22869512656991,66.76783898085203,15.972637508544407,-6585.862648317219,-6565.462539650703,MSFT,
ARMA,"(1, 0, 2)","(0, 0, 0, 0)",ok,63.33726124271301,66.81369401140546,15.99727420013749,-6580.29204215863,-6554.796033440864,MSFT,
ARMA,"(2, 0, 1)","(0, 0, 0, 0)",ok,63.41422534240751,66.91440443571295,16.017540673857972,-6584.5222053602265,-6559.02206952708,MSFT,
ARMA,"(2, 0, 2)","(0, 0, 0, 0)",ok,63.28541361311401,66.73661242772857,15.983252721880921,-6579.2173327218225,-6548.622122260504,MSFT,
ARIMA,"(0, 1, 1)","(0, 0, 0, 0)",ok,72.5986390740297,75.57365885891885,18.285231414610973,-6581.077970592074,-6565.780365361415,MSFT,
ARIMA,"(0, 1, 2)","(0, 0, 0, 0)",ok,71.669246553796,74.65400949679515,18.05375517956694,-6575.134781310939,-6554.741278756575,MSFT,
ARIMA,"(1, 1, 0)","(0, 0, 0, 0)",ok,72.78926528798381,75.75859876264391,18.332323038861595,-6586.714954501234,-6571.414873001347,MSFT,
